TAB, POD,Timp    ,alt       ,ssc_lat,ssc_lon,v    ,pth    ,az     ,pt1_lat,pt1_lon,pt1_srange,pt2_lat,pt2_lon,pt2_srange,p18_lat,p18_lon,p18_srange
129, 264, 360.891, 801.55734, -6.668,-28.999,2.248,-69.794,116.139,-11.023,-19.751, 882.89754,-12.132,-23.538, 849.30322,-12.011,-17.359, 925.57598
130, 266, 355.771, 790.74936, -6.708,-28.918,2.252,-69.737,116.128,-11.015,-19.769, 871.08262,-12.114,-23.489, 838.14647,-11.994,-17.391, 913.46002
131, 268, 350.651, 779.92789, -6.748,-28.836,2.255,-69.679,116.116,-11.006,-19.787, 859.25066,-12.097,-23.439, 826.97034,-11.980,-17.422, 901.32099
132, 270, 345.531, 769.09219, -6.788,-28.753,2.259,-69.621,116.104,-10.998,-19.804, 847.40094,-12.079,-23.393, 815.75313,-11.964,-17.458, 889.10675
133, 272, 340.411, 758.24286, -6.829,-28.669,2.263,-69.563,116.093,-10.989,-19.822, 835.53405,-12.062,-23.347, 804.51357,-11.948,-17.493, 876.86318
134, 274, 335.291, 747.37943, -6.870,-28.585,2.267,-69.504,116.080,-10.981,-19.839, 823.64948,-12.044,-23.300, 793.25421,-11.933,-17.530, 864.59740
135, 276, 330.171, 736.50204, -6.911,-28.499,2.270,-69.445,116.068,-10.973,-19.857, 811.74749,-12.027,-23.254, 781.98220,-11.917,-17.565, 852.31991
136, 278, 325.052, 725.61038, -6.953,-28.413,2.274,-69.385,116.056,-10.965,-19.874, 799.82746,-12.009,-23.207, 770.69014,-11.901,-17.601, 840.01992
137, 280, 319.932, 714.70435, -6.995,-28.327,2.278,-69.324,116.043,-10.957,-19.891, 787.88943,-11.992,-23.161, 759.37784,-11.885,-17.637, 827.69747
138, 282, 314.812, 703.78394, -7.038,-28.239,2.282,-69.264,116.031,-10.949,-19.908, 775.93341,-11.975,-23.112, 748.06604,-11.870,-17.671, 815.40001
139, 284, 309.692, 692.84930, -7.081,-28.151,2.286,-69.202,116.018,-10.941,-19.925, 763.95941,-11.957,-23.064, 736.73299,-11.854,-17.705, 803.07761
140, 286, 304.572, 681.89981, -7.124,-28.061,2.290,-69.140,116.005,-10.933,-19.942, 751.96686,-11.940,-23.016, 725.38006,-11.838,-17.739, 790.73453
141, 288, 299.452, 670.93561, -7.167,-27.971,2.294,-69.078,115.992,-10.925,-19.959, 739.95585,-11.922,-22.964, 714.02775,-11.822,-17.770, 778.41927
142, 290, 294.332, 659.95679, -7.211,-27.880,2.298,-69.015,115.978,-10.917,-19.976, 727.92641,-11.904,-22.914, 702.65278,-11.806,-17.801, 766.07628
143, 292, 289.212, 648.96298, -7.256,-27.789,2.302,-68.952,115.965,-10.909,-19.993, 715.87820,-11.886,-22.864, 691.25236,-11.790,-17.833, 753.69842
144, 294, 284.092, 637.95435, -7.300,-27.696,2.306,-68.888,115.951,-10.901,-20.009, 703.81130,-11.869,-22.816, 679.81618,-11.774,-17.869, 741.25651
145, 296, 278.972, 626.93048, -7.346,-27.603,2.311,-68.823,115.937,-10.893,-20.026, 691.72535,-11.851,-22.768, 668.35665,-11.758,-17.904, 728.78739
146, 298, 273.853, 615.89142, -7.391,-27.508,2.315,-68.758,115.923,-10.886,-20.042, 679.62028,-11.834,-22.720, 656.87527,-11.742,-17.940, 716.29457
147, 300, 268.733, 604.83707, -7.437,-27.413,2.319,-68.693,115.909,-10.878,-20.058, 667.49597,-11.816,-22.672, 645.37569,-11.726,-17.975, 703.78643
148, 302, 263.613, 593.76758, -7.483,-27.316,2.323,-68.627,115.894,-10.870,-20.074, 655.35258,-11.798,-22.624, 633.85221,-11.709,-18.011, 691.25021
149, 304, 258.493, 582.68213, -7.530,-27.219,2.328,-68.560,115.880,-10.863,-20.090, 643.18922,-11.780,-22.577, 622.30070,-11.693,-18.048, 678.67787
150, 306, 253.373, 571.58130, -7.577,-27.121,2.332,-68.493,115.865,-10.856,-20.106, 631.00651,-11.762,-22.531, 610.71732,-11.676,-18.086, 666.06071
151, 308, 248.253, 560.46472, -7.625,-27.022,2.337,-68.425,115.850,-10.848,-20.121, 618.80396,-11.743,-22.485, 599.10932,-11.660,-18.124, 653.41535
152, 310, 243.133, 549.33212, -7.673,-26.922,2.341,-68.356,115.835,-10.841,-20.137, 606.58128,-11.725,-22.439, 587.47858,-11.643,-18.164, 640.74123
153, 312, 238.013, 538.18396, -7.722,-26.820,2.345,-68.287,115.819,-10.834,-20.152, 594.33899,-11.708,-22.394, 575.82689,-11.627,-18.203, 628.03866
154, 314, 232.893, 527.01929, -7.771,-26.718,2.350,-68.217,115.804,-10.827,-20.167, 582.07593,-11.691,-22.349, 564.14904,-11.611,-18.244, 615.30669
155, 316, 227.773, 515.83881, -7.820,-26.615,2.355,-68.147,115.788,-10.819,-20.182, 569.79295,-11.673,-22.305, 552.43968,-11.595,-18.285, 602.53339
156, 318, 222.654, 504.64175, -7.870,-26.511,2.359,-68.076,115.771,-10.812,-20.197, 557.48917,-11.655,-22.262, 540.69662,-11.579,-18.328, 589.71519
157, 320, 217.534, 493.42853, -7.920,-26.405,2.364,-68.004,115.755,-10.806,-20.212, 545.16492,-11.636,-22.219, 528.92775,-11.562,-18.371, 576.86872
158, 322, 212.414, 482.19849, -7.971,-26.299,2.369,-67.932,115.739,-10.799,-20.227, 532.81963,-11.618,-22.175, 517.13361,-11.545,-18.414, 563.99619
159, 324, 207.294, 470.95178, -8.023,-26.191,2.373,-67.859,115.722,-10.792,-20.241, 520.45324,-11.599,-22.132, 505.31407,-11.528,-18.457, 551.09724
160, 326, 202.174, 459.68854, -8.074,-26.082,2.378,-67.785,115.705,-10.785,-20.255, 508.06603,-11.580,-22.089, 493.46776,-11.510,-18.501, 538.16892
161, 328, 197.054, 448.40811, -8.127,-25.972,2.383,-67.710,115.687,-10.779,-20.269, 495.65719,-11.561,-22.047, 481.59084,-11.493,-18.545, 525.20395
162, 330, 191.934, 437.11105, -8.180,-25.861,2.388,-67.635,115.670,-10.772,-20.283, 483.22731,-11.542,-22.005, 469.68463,-11.475,-18.590, 512.20484
163, 332, 186.814, 425.79636, -8.233,-25.749,2.393,-67.559,115.652,-10.766,-20.297, 470.77533,-11.523,-21.963, 457.75019,-11.457,-18.636, 499.17519
