TAB, POD,Timp    ,alt       ,ssc_lat,ssc_lon,v    ,pth    ,az     ,pt1_lat,pt1_lon,pt1_srange,pt2_lat,pt2_lon,pt2_srange,p18_lat,p18_lon,p18_srange
 47, 100, 780.723,1648.17462, -4.224,-33.930,2.021,-73.366,116.793,-11.768,-18.205,1802.01781,-13.016,-27.881,1708.21701,-12.743,-15.566,1851.44142
 48, 102, 775.603,1638.25366, -4.247,-33.885,2.024,-73.332,116.787,-11.759,-18.224,1791.31573,-13.012,-27.827,1698.28918,-12.741,-15.581,1840.82339
 49, 104, 770.483,1628.32413, -4.270,-33.840,2.026,-73.298,116.781,-11.750,-18.243,1780.60291,-13.008,-27.772,1688.35077,-12.739,-15.596,1830.19174
 50, 106, 765.363,1618.38580, -4.293,-33.794,2.028,-73.264,116.775,-11.740,-18.261,1769.87903,-13.005,-27.718,1678.39619,-12.737,-15.613,1819.52660
 51, 108, 760.243,1608.43878, -4.316,-33.748,2.030,-73.230,116.770,-11.731,-18.280,1759.14424,-13.001,-27.665,1668.43036,-12.735,-15.629,1808.84586
 52, 110, 755.123,1598.48325, -4.339,-33.702,2.032,-73.195,116.764,-11.722,-18.299,1748.39868,-12.996,-27.611,1658.45387,-12.732,-15.646,1798.15166
 53, 112, 750.003,1588.51865, -4.362,-33.656,2.034,-73.160,116.758,-11.713,-18.318,1737.64177,-12.992,-27.559,1648.46065,-12.730,-15.664,1787.42313
 54, 114, 744.883,1578.54544, -4.386,-33.609,2.036,-73.125,116.752,-11.703,-18.337,1726.87404,-12.988,-27.506,1638.45641,-12.727,-15.683,1776.68048
 55, 116, 739.763,1568.56329, -4.409,-33.562,2.039,-73.090,116.746,-11.694,-18.356,1716.09503,-12.984,-27.454,1628.44130,-12.725,-15.701,1765.925
 56, 118, 734.644,1558.57220, -4.433,-33.515,2.041,-73.055,116.740,-11.685,-18.375,1705.30484,-12.979,-27.400,1618.42064,-12.722,-15.718,1755.17586
 57, 120, 729.524,1548.57236, -4.457,-33.467,2.043,-73.019,116.733,-11.676,-18.393,1694.50354,-12.974,-27.347,1608.38889,-12.719,-15.736,1744.41260
 58, 122, 724.404,1538.56329, -4.481,-33.419,2.045,-72.984,116.727,-11.666,-18.412,1683.69077,-12.970,-27.292,1598.35300,-12.716,-15.752,1733.66100
 59, 124, 719.284,1528.54526, -4.505,-33.371,2.048,-72.948,116.721,-11.657,-18.431,1672.86659,-12.964,-27.228,1588.36157,-12.713,-15.756,1723.09142
 60, 126, 714.164,1518.51810, -4.530,-33.322,2.050,-72.911,116.715,-11.648,-18.450,1662.03102,-12.959,-27.165,1578.35854,-12.709,-15.761,1712.50453
 61, 128, 709.044,1508.48190, -4.554,-33.274,2.052,-72.875,116.709,-11.639,-18.469,1651.18407,-12.953,-27.101,1568.34613,-12.706,-15.766,1701.90796
 62, 130, 703.924,1498.43649, -4.579,-33.225,2.054,-72.839,116.702,-11.629,-18.488,1640.32555,-12.948,-27.036,1558.33125,-12.702,-15.769,1691.32611
 63, 132, 698.804,1488.38162, -4.603,-33.175,2.057,-72.802,116.696,-11.620,-18.507,1629.45518,-12.942,-26.971,1548.30431,-12.698,-15.772,1680.72610
 64, 134, 693.684,1478.31781, -4.628,-33.125,2.059,-72.765,116.690,-11.611,-18.526,1618.57352,-12.936,-26.907,1538.25992,-12.694,-15.777,1670.08827
 65, 136, 688.564,1468.24454, -4.653,-33.075,2.061,-72.728,116.683,-11.602,-18.545,1607.67998,-12.930,-26.846,1528.18616,-12.690,-15.785,1659.37418
 66, 138, 683.445,1458.16187, -4.679,-33.025,2.064,-72.690,116.677,-11.592,-18.564,1596.77467,-12.925,-26.785,1518.10028,-12.686,-15.794,1648.64288
 67, 140, 678.325,1448.06970, -4.704,-32.974,2.066,-72.653,116.670,-11.583,-18.583,1585.85742,-12.919,-26.725,1507.99831,-12.682,-15.804,1637.88138
 68, 142, 673.205,1437.96799, -4.730,-32.923,2.068,-72.615,116.664,-11.574,-18.603,1574.92819,-12.912,-26.666,1497.87621,-12.678,-15.816,1627.07666
 69, 144, 668.085,1427.85703, -4.755,-32.872,2.071,-72.577,116.657,-11.565,-18.622,1563.98732,-12.906,-26.607,1487.74197,-12.673,-15.828,1616.25522
 70, 146, 662.965,1417.73636, -4.781,-32.820,2.073,-72.539,116.650,-11.555,-18.641,1553.03526,-12.900,-26.549,1477.59509,-12.669,-15.840,1605.41641
 71, 148, 657.845,1407.60602, -4.807,-32.768,2.076,-72.500,116.644,-11.546,-18.660,1542.06911,-12.894,-26.490,1467.43552,-12.664,-15.853,1594.56020
 72, 150, 652.725,1397.46591, -4.833,-32.715,2.078,-72.462,116.637,-11.537,-18.679,1531.09167,-12.887,-26.432,1457.26320,-12.659,-15.866,1583.68660
 73, 152, 647.605,1387.31628, -4.860,-32.663,2.080,-72.423,116.630,-11.528,-18.698,1520.10222,-12.880,-26.373,1447.07817,-12.655,-15.879,1572.79550
 74, 154, 642.485,1377.15671, -4.886,-32.610,2.083,-72.384,116.623,-11.518,-18.717,1509.10034,-12.874,-26.315,1436.88010,-12.650,-15.892,1561.88672
 75, 156, 637.365,1366.98740, -4.913,-32.556,2.085,-72.344,116.616,-11.509,-18.736,1498.08620,-12.867,-26.257,1426.66910,-12.645,-15.906,1550.96027
 76, 158, 632.246,1356.80801, -4.940,-32.502,2.088,-72.305,116.609,-11.500,-18.755,1487.05946,-12.860,-26.199,1416.44319,-12.639,-15.920,1540.01329
 77, 160, 627.126,1346.61880, -4.967,-32.448,2.090,-72.265,116.602,-11.490,-18.774,1476.02040,-12.852,-26.141,1406.20285,-12.633,-15.934,1529.04642
 78, 162, 622.006,1336.41971, -4.994,-32.393,2.093,-72.225,116.595,-11.481,-18.794,1464.96884,-12.845,-26.084,1395.94934,-12.628,-15.948,1518.06165
 79, 164, 616.886,1326.21051, -5.022,-32.338,2.096,-72.185,116.588,-11.472,-18.813,1453.90465,-12.836,-26.027,1385.67087,-12.621,-15.964,1507.03949
 80, 166, 611.766,1315.99088, -5.049,-32.283,2.098,-72.144,116.581,-11.463,-18.832,1442.82745,-12.827,-25.970,1375.37141,-12.614,-15.980,1495.98697
 81, 168, 606.646,1305.76154, -5.077,-32.227,2.101,-72.103,116.574,-11.453,-18.851,1431.73793,-12.818,-25.914,1365.05893,-12.606,-15.997,1484.91705
 82, 170, 601.526,1295.52185, -5.105,-32.171,2.103,-72.062,116.567,-11.444,-18.870,1420.63551,-12.808,-25.857,1354.72896,-12.598,-16.013,1473.83238
 83, 172, 596.406,1285.27161, -5.133,-32.115,2.106,-72.021,116.559,-11.435,-18.889,1409.51988,-12.797,-25.800,1344.38336,-12.590,-16.029,1462.73099
 84, 174, 591.286,1275.01129, -5.161,-32.058,2.108,-71.979,116.552,-11.426,-18.908,1398.39154,-12.787,-25.744,1334.02444,-12.581,-16.046,1451.61151
 85, 176, 586.166,1264.74051, -5.190,-32.001,2.111,-71.938,116.544,-11.417,-18.928,1387.25011,-12.776,-25.688,1323.63959,-12.572,-16.065,1440.44440
 86, 178, 581.047,1254.45932, -5.219,-31.943,2.114,-71.896,116.537,-11.407,-18.947,1376.09563,-12.765,-25.634,1313.23708,-12.563,-16.084,1429.24966
 87, 180, 575.927,1244.16745, -5.247,-31.885,2.116,-71.853,116.529,-11.398,-18.966,1364.92772,-12.753,-25.579,1302.82054,-12.553,-16.103,1418.03679
 88, 182, 570.807,1233.86530, -5.277,-31.826,2.119,-71.811,116.522,-11.389,-18.985,1353.74687,-12.741,-25.525,1292.37712,-12.543,-16.124,1406.78310
 89, 184, 565.687,1223.55243, -5.306,-31.767,2.122,-71.768,116.514,-11.380,-19.004,1342.55266,-12.729,-25.471,1281.91679,-12.532,-16.145,1395.50641
 90, 186, 560.567,1213.22888, -5.335,-31.708,2.125,-71.725,116.506,-11.370,-19.023,1331.34499,-12.716,-25.418,1271.44257,-12.522,-16.167,1384.21201
 91, 188, 555.447,1202.89435, -5.365,-31.648,2.127,-71.681,116.499,-11.361,-19.042,1320.12363,-12.702,-25.365,1260.94261,-12.510,-16.189,1372.88704
 92, 190, 550.327,1192.54916, -5.395,-31.588,2.130,-71.638,116.491,-11.352,-19.062,1308.88892,-12.688,-25.311,1250.42746,-12.498,-16.211,1361.54285
 93, 192, 545.207,1182.19308, -5.425,-31.527,2.133,-71.594,116.483,-11.343,-19.081,1297.64052,-12.674,-25.258,1239.89818,-12.486,-16.233,1350.18076
